episode,time,delta_s,delta_v_s,v_s,acc,delta_d,difficulty,,
3,0,-0.003125037,-0.31240085,0.31683007,3.168308,-3.5989652,0.2,,
3,0.1,-0.11524612,-1.6567392,1.6569202,13.401578,-3.5957272,0.2,,
3,0.2,-0.31982827,-2.254885,2.2552888,5.984798,-3.5922525,0.2,,
3,0.3,-0.560009,-2.4858346,2.4860933,2.3083901,-3.5893397,0.2,,
3,0.4,-0.8200349,-2.708468,2.7086153,2.2245805,-3.5866146,0.2,,
3,0.5,-1.1085988,-3.0383725,3.0384545,3.2968545,-3.5839567,0.2,,
3,0.6,-1.4324381,-3.3999634,3.400009,3.6132698,-3.5815163,0.2,,
3,0.7,-1.7921115,-3.7572787,3.757304,3.5705972,-3.579344,0.2,,
3,0.8,-2.1875439,-4.119301,4.119315,3.6185308,-3.5773015,0.2,,
3,0.9,-2.6196814,-4.4866786,4.486686,3.6730244,-3.5756304,0.2,,
3,1,-3.086212,-4.7823925,4.782398,2.9567418,-3.574572,0.2,,
3,1.1,-3.5703993,-4.8678184,4.8678217,0.8540255,-3.574116,0.2,,
3,1.2,-4.0574965,-4.8841662,4.884168,0.16332705,-3.5741425,0.2,,
3,1.3,-4.553093,-5.0416794,5.0416803,1.5750128,-3.574473,0.2,,
3,1.4,-5.0708933,-5.28391,5.2839103,2.4222455,-3.57494,0.2,,
3,1.5,-5.609164,-5.4374075,5.4374075,1.5349575,-3.5754602,0.2,,
3,1.6,-6.15568,-5.489312,5.4893126,0.5190491,-3.575918,0.2,,
3,1.7,-6.708967,-5.5785923,5.5785923,0.89279675,-3.5762594,0.2,,
3,1.8,-7.2717476,-5.6475077,5.6475077,0.6891448,-3.5764208,0.2,,
3,1.9,-7.8353267,-5.6276116,5.6276116,-0.19897334,-3.5763383,0.2,,
3,2,-8.398847,-5.6584277,5.6584277,0.30815366,-3.5759888,0.2,,
3,2.1,-8.968716,-5.712316,5.712316,0.538889,-3.5753372,0.2,,
3,2.2,-9.535992,-5.620913,5.620913,-0.91401476,-3.57441,0.2,,
3,2.3,-10.089323,-5.459904,5.459904,-1.6100628,-3.5732396,0.2,,
3,2.4,-10.571746,-4.0580435,5.333022,-1.2687829,-3.5718307,0.2,,
3,2.5,-10.883664,-2.5342605,5.33156,-0.014569992,-3.570566,0.2,,
3,2.6,-11.076479,-1.3701569,5.3786817,0.47126788,-3.5706315,0.2,,
3,2.7,-11.175562,-0.46368006,5.4464407,0.6776462,-3.5733254,0.2,,
3,2.8,-11.202882,0.23808485,5.548817,1.0238128,-3.5790076,0.2,,
3,2.9,-11.169851,0.78143233,5.6799774,1.3116499,-3.5868723,0.2,,
3,3,-11.086352,1.163339,5.8805327,2.0055919,-3.5948975,0.2,,
3,3.1,-10.963377,1.4365814,6.124225,2.4369524,-3.6018898,0.2,,
3,3.2,-10.803592,1.6973817,6.33321,2.0898569,-3.6078868,0.2,,
3,3.3,-10.618745,1.92627,6.5378695,2.0465906,-3.6129448,0.2,,
3,3.4,-10.41791,2.0583513,6.7705765,2.3270464,-3.6167417,0.2,,
3,3.5,-10.209187,2.1244447,6.996049,2.2546897,-3.6189134,0.2,,
3,3.6,-9.994949,2.1618528,7.1910214,1.9496769,-3.619309,0.2,,
3,3.7,-9.778644,2.1464713,7.3912044,2.0017705,-3.6179054,0.2,,
3,3.8,-9.568475,2.0575342,7.6268506,2.3564086,-3.614728,0.2,,
3,3.9,-9.371108,1.8872277,7.8373685,2.1051154,-3.6098802,0.2,,
3,4,-9.193423,1.6852386,8.022426,1.8505121,-3.60357,0.2,,
3,4.1,-9.037881,1.4448181,8.245946,2.2351563,-3.5960054,0.2,,
3,4.2,-8.906209,1.2320428,8.441872,1.9592037,-3.5874543,0.2,,
3,4.3,-8.788256,1.1546295,8.502485,0.6060982,-3.5782223,0.2,,
3,4.4,-8.664845,1.4291307,8.521582,0.1909249,-3.5684779,0.2,,
3,4.5,-8.49682,1.8507185,8.668409,1.4682477,-3.558008,0.2,,
3,4.6,-8.2935505,2.1893945,8.854545,1.8613278,-3.5469716,0.2,,
3,4.7,-8.050792,2.6297977,8.906072,0.51524466,-3.5356586,0.2,,
3,4.8,-7.76262,3.0701091,8.932409,0.26335812,-3.5243578,0.2,,
3,4.9,-7.4382796,3.3638048,9.085472,1.530621,-3.5133839,0.2,,
3,5,-7.0902247,3.5747354,9.305209,2.1973631,-3.5030897,0.2,,
3,5.1,-6.7211394,3.789099,9.50811,2.0289977,-3.4938254,0.2,,
3,5.2,-6.3322983,3.9352415,9.697875,1.897644,-3.4859722,0.2,,
3,5.3,-5.9487524,3.694429,9.910777,2.1290162,-3.479927,0.2,,
3,5.4,-5.607673,3.164893,10.1010475,1.9027097,-3.4759383,0.2,,
3,5.5,-5.326096,2.5137765,10.238287,1.3723925,-3.47401,0.2,,
3,5.6,-5.116164,1.7588282,10.423694,1.8540585,-3.4739578,0.2,,
3,5.7,-4.9765334,1.1571299,10.62388,2.001874,-3.4755285,0.2,,
3,5.8,-4.8740005,0.9746542,10.687948,0.6406731,-3.4784887,0.2,,
3,5.9,-4.7728357,1.030341,10.659017,-0.28931952,-3.4825854,0.2,,
3,6,-4.669289,1.038756,10.629866,-0.29150194,-3.4874575,0.2,,
3,6.1,-4.563723,1.0870069,10.56103,-0.68835646,-3.4928455,0.2,,
3,6.2,-4.449514,1.181655,10.445867,-1.1516329,-3.4986126,0.2,,
3,6.3,-4.327801,1.2454605,10.361606,-0.84261376,-3.5044074,0.2,,
3,6.4,-4.196693,1.4444807,10.253332,-1.082731,-3.5100415,0.2,,
3,6.5,-4.0215144,2.0125852,10.0661745,-1.871577,-3.5154939,0.2,,
3,6.6,-3.785909,2.6243987,9.850274,-2.159007,-3.520764,0.2,,
3,6.7,-3.4961362,3.086485,9.791951,-0.58322465,-3.5254445,0.2,,
3,6.8,-3.169323,3.4136682,9.8713255,0.7937414,-3.529298,0.2,,
3,6.9,-2.810595,3.7260408,9.898577,0.27250683,-3.5323694,0.2,,
3,7,-2.4279776,3.8659356,9.770584,-1.2799215,-3.534208,0.2,,
